Date,Area98661,Area98662,Area98665,Area98664,Area98663,Area98660
1/31/1996,115813,130244,139895,128212,113761,113137
2/29/1996,116471,130741,140513,128866,114279,113484
3/31/1996,116929,130988,140732,129264,114600,114037
4/30/1996,117930,131540,141340,130146,115451,114923
5/31/1996,119230,132315,142105,131317,116738,116415
6/30/1996,120990,133589,143523,132980,118493,117852
7/31/1996,123178,135539,145579,135200,120672,119630
8/31/1996,125467,137625,147740,137543,122831,121440
9/30/1996,127590,139728,149908,139864,125022,123530
10/31/1996,129696,141915,152184,142148,127180,125403
11/30/1996,131969,144514,154989,144678,129605,127489
12/31/1996,134573,147362,158110,147470,132254,129626
1/31/1997,136540,149309,160302,149263,134048,131710
2/28/1997,138063,150546,161738,150439,135388,133227
3/31/1997,139658,152067,163419,151632,136896,134509
4/30/1997,141909,154406,166026,153992,139279,136233
5/31/1997,143804,156506,168456,155992,141070,137093
6/30/1997,144380,157168,169243,156708,141575,137426
7/31/1997,143753,156318,168363,155986,140798,136588
8/31/1997,142353,154941,166834,154644,139560,135327
9/30/1997,141454,153841,165638,153657,138543,133858
10/31/1997,140855,152918,164614,152831,137829,133045
11/30/1997,140098,151550,162962,151712,136792,131992
12/31/1997,139339,150437,161349,150672,135803,131215
1/31/1998,139167,150317,160809,150862,135731,129923
2/28/1998,139559,151096,161098,151871,136423,129742
3/31/1998,139584,151177,161014,152682,136844,129047
4/30/1998,138975,150621,160137,152169,136122,128459
5/31/1998,138101,149842,159176,151339,135163,127594
6/30/1998,137953,149975,159089,151162,134789,127605
7/31/1998,138400,150693,159828,151635,135228,128272
8/31/1998,139679,151788,161130,152605,136330,129442
9/30/1998,140544,152451,161922,153027,137090,130221
10/31/1998,140952,152725,162299,153345,137528,130468
11/30/1998,141134,152882,162619,153616,137871,130540
12/31/1998,140400,152013,162171,152998,137491,129973
1/31/1999,140173,151701,162178,152658,137521,130287
2/28/1999,140111,151493,162262,152349,137587,130825
3/31/1999,141027,152412,163309,153114,138446,132589
4/30/1999,141663,153010,163856,153674,139099,133563
5/31/1999,142013,153429,164098,154105,139445,134316
6/30/1999,142362,153889,164268,154352,140048,134726
7/31/1999,142701,154221,164580,154631,140527,135481
8/31/1999,143049,154682,165158,155092,141068,136117
9/30/1999,143211,154990,165601,155508,141234,136583
10/31/1999,143323,155278,165919,155777,141252,136830
11/30/1999,143715,155571,166107,156038,141382,137419
12/31/1999,144243,156033,166350,156549,141717,138133
1/31/2000,140282,153025,200531,153433,138690,135833
2/29/2000,140543,153231,200891,153689,138892,135628
3/31/2000,140910,153485,201050,153839,139125,135491
4/30/2000,141397,153607,201434,153979,139526,135455
5/31/2000,141840,153537,201319,154037,139921,135708
6/30/2000,142224,153438,201152,154327,140227,136189
7/31/2000,143004,154039,201329,155162,140852,136145
8/31/2000,143966,155005,202255,156106,141809,136389
9/30/2000,144558,155847,203255,156755,142683,136605
10/31/2000,144755,156323,203909,156947,143186,136984
11/30/2000,144557,156558,203982,156835,143335,136598
12/31/2000,145079,157279,205006,157351,143919,136553
1/31/2001,144881,157207,204956,157138,143758,136159
2/28/2001,144981,157244,205131,157140,143733,136333
3/31/2001,143919,156151,203571,155911,142698,135699
4/30/2001,144226,156402,203564,156179,142815,135921
5/31/2001,144631,156389,203850,156581,142845,135763
6/30/2001,145724,157244,204845,157669,143672,136262
7/31/2001,146311,157603,205751,158371,144347,137125
8/31/2001,146995,158424,206805,159344,145379,138648
9/30/2001,147489,159157,207719,160439,146325,139676
10/31/2001,148022,159808,208180,161211,147221,140330
11/30/2001,148250,160284,208330,161552,147687,140803
12/31/2001,149153,161091,209110,162148,148624,142033
1/31/2002,149335,161339,209125,162116,148622,142628
2/28/2002,149560,161438,209032,162189,148654,143229
3/31/2002,149337,161183,208823,162006,148239,143531
4/30/2002,149735,161404,209492,162412,148744,144255
5/31/2002,150192,161683,209975,162815,149332,144839
6/30/2002,150913,162069,210368,163498,150106,145657
7/31/2002,151917,162850,210958,164586,150851,146516
8/31/2002,152948,163695,211618,165708,151524,147248
9/30/2002,153582,164340,212111,166135,151920,147543
10/31/2002,153813,164743,212692,166326,152353,147767
11/30/2002,153854,165154,213581,166355,152776,148081
12/31/2002,154191,165812,214955,166921,153445,148639
1/31/2003,154101,165944,215433,166878,153531,149195
2/28/2003,154208,166136,215862,167187,153597,149290
3/31/2003,154100,166252,215859,167169,153206,148974
4/30/2003,154489,166895,216615,167844,153336,148974
5/31/2003,154821,167501,217203,168295,153514,149490
6/30/2003,155443,168295,218205,169071,154065,150296
7/31/2003,156476,169364,219525,170255,155207,151549
8/31/2003,157895,170856,221877,171883,156900,153111
9/30/2003,159543,172535,224328,173766,158823,154554
10/31/2003,161167,174438,226791,175572,160503,155678
11/30/2003,162935,176450,228958,177477,161987,156776
12/31/2003,164613,178340,231109,179303,163475,158256
1/31/2004,165315,179138,231992,179865,164019,158760
2/29/2004,165945,179818,232699,180271,164655,159457
3/31/2004,166687,180526,233531,180603,165400,160425
4/30/2004,168406,182170,235380,182160,166941,162204
5/31/2004,170136,183760,237271,183700,168472,163786
6/30/2004,171956,185552,239332,185484,170170,165048
7/31/2004,174185,187924,242254,187647,172223,166816
8/31/2004,176596,190438,245853,190240,174560,169074
9/30/2004,178101,192280,248586,192148,176258,171051
10/31/2004,179501,193873,251397,193808,178013,172990
11/30/2004,180472,195332,253641,195048,179561,174626
12/31/2004,182172,197339,256956,197090,181721,176882
1/31/2005,182990,198467,258786,198360,182988,178448
2/28/2005,184117,199806,261278,199745,184380,180242
3/31/2005,185923,201548,264267,201462,186171,182498
4/30/2005,188927,204403,268982,204551,189252,185378
5/31/2005,192403,207562,273851,208074,192745,188775
6/30/2005,197171,212069,280290,212844,197591,192770
7/31/2005,202738,217306,287592,218224,203239,197645
8/31/2005,208817,223649,295716,224368,209088,202430
9/30/2005,214336,229651,303391,230338,214471,207102
10/31/2005,218703,234705,309479,235017,218659,210726
11/30/2005,222714,238979,314946,239072,222770,214078
12/31/2005,225903,242440,319024,241818,225951,216436
1/31/2006,228908,245585,323032,244634,228873,218906
2/28/2006,231135,247905,325667,246940,230822,220626
3/31/2006,232701,249861,327481,248803,232329,222256
4/30/2006,235270,252991,330579,251686,234990,225253
5/31/2006,237737,256151,334021,254532,237862,228502
6/30/2006,240349,259398,337861,257949,240715,232475
7/31/2006,241290,261000,339780,259794,241971,234717
8/31/2006,242437,262661,341704,261851,243375,237240
9/30/2006,243269,263601,342474,263011,244520,238433
10/31/2006,243260,263588,341873,262980,244567,238321
11/30/2006,242805,263212,340678,262264,244200,237743
12/31/2006,242396,262907,340098,262197,243692,237511
1/31/2007,243176,263646,341042,263317,244784,238913
2/28/2007,244079,264357,341656,264570,246004,240375
