RegionName,Area98682,Area98661,Area98662,Area98683,Area98684,Area98685,Area98665,Area98664,Area98686,Area98663,Area98660
1/31/2000,155607,140282,153025,183742,158133,200531,163572,153433,200416,138690,135833
2/29/2000,155810,140543,153231,184036,158417,200891,163846,153689,200387,138892,135628
3/31/2000,155952,140910,153485,184111,158623,201050,164071,153839,200489,139125,135491
4/30/2000,156131,141397,153607,184313,158736,201434,164367,153979,200651,139526,135455
5/31/2000,156195,141840,153537,184434,158743,201319,164444,154037,201040,139921,135708
6/30/2000,156393,142224,153438,184873,158903,201152,164610,154327,201653,140227,136189
7/31/2000,157002,143004,154039,185678,159623,201329,165046,155162,202765,140852,136145
8/31/2000,157959,143966,155005,186899,160683,202255,165913,156106,204035,141809,136389
9/30/2000,158845,144558,155847,187823,161600,203255,166633,156755,205110,142683,136605
10/31/2000,159425,144755,156323,188602,162299,203909,167118,156947,205827,143186,136984
11/30/2000,159544,144557,156558,188834,162507,203982,167316,156835,206056,143335,136598
12/31/2000,160165,145079,157279,189922,163194,205006,168072,157351,206888,143919,136553
1/31/2001,159945,144881,157207,189914,163047,204956,167945,157138,206687,143758,136159
2/28/2001,159922,144981,157244,190078,163052,205131,167964,157140,206955,143733,136333
3/31/2001,158779,143919,156151,188832,161833,203571,166830,155911,205650,142698,135699
4/30/2001,158992,144226,156402,188951,161990,203564,167089,156179,205882,142815,135921
5/31/2001,159189,144631,156389,189092,162217,203850,167200,156581,205898,142845,135763
6/30/2001,160184,145724,157244,190053,163369,204845,168110,157669,207050,143672,136262
7/31/2001,160850,146311,157603,190933,163967,205751,168991,158371,207891,144347,137125
8/31/2001,161889,146995,158424,192119,164893,206805,170149,159344,208967,145379,138648
9/30/2001,162631,147489,159157,193011,165578,207719,170984,160439,209288,146325,139676
10/31/2001,163358,148022,159808,193592,166465,208180,171459,161211,209419,147221,140330
11/30/2001,163905,148250,160284,193825,167005,208330,171754,161552,209359,147687,140803
12/31/2001,164932,149153,161091,194531,167912,209110,172656,162148,210239,148624,142033
1/31/2002,165105,149335,161339,194503,167925,209125,172764,162116,210084,148622,142628
2/28/2002,165166,149560,161438,194520,167898,209032,172725,162189,209923,148654,143229
3/31/2002,164807,149337,161183,194262,167534,208823,172228,162006,209300,148239,143531
4/30/2002,165091,149735,161404,194553,167744,209492,172391,162412,209301,148744,144255
5/31/2002,165337,150192,161683,194839,167817,209975,172579,162815,209223,149332,144839
6/30/2002,165732,150913,162069,195534,168031,210368,172827,163498,209282,150106,145657
7/31/2002,166480,151917,162850,196789,168633,210958,173274,164586,209907,150851,146516
8/31/2002,167302,152948,163695,198310,169594,211618,173761,165708,210406,151524,147248
9/30/2002,167991,153582,164340,199206,170353,212111,174073,166135,211003,151920,147543
10/31/2002,168476,153813,164743,199903,170990,212692,174530,166326,211550,152353,147767
11/30/2002,169060,153854,165154,200131,171594,213581,175121,166355,212403,152776,148081
12/31/2002,169901,154191,165812,200838,172694,214955,176051,166921,213481,153445,148639
1/31/2003,170069,154101,165944,200798,173128,215433,176318,166878,213733,153531,149195
2/28/2003,170175,154208,166136,201070,173488,215862,176689,167187,214160,153597,149290
3/31/2003,170066,154100,166252,200930,173472,215859,176788,167169,214097,153206,148974
4/30/2003,170524,154489,166895,201483,173914,216615,177332,167844,215075,153336,148974
5/31/2003,170954,154821,167501,202031,174395,217203,177597,168295,215777,153514,149490
6/30/2003,171623,155443,168295,203123,175129,218205,178337,169071,217046,154065,150296
7/31/2003,172781,156476,169364,204667,176467,219525,179702,170255,218444,155207,151549
8/31/2003,174456,157895,170856,206766,178331,221877,181804,171883,220872,156900,153111
9/30/2003,176339,159543,172535,209074,180432,224328,184035,173766,223558,158823,154554
10/31/2003,178175,161167,174438,211221,182417,226791,185996,175572,226223,160503,155678
11/30/2003,179948,162935,176450,213342,184320,228958,187979,177477,228437,161987,156776
12/31/2003,181569,164613,178340,215207,186020,231109,189685,179303,230429,163475,158256
1/31/2004,182252,165315,179138,215908,186661,231992,190379,179865,231083,164019,158760
2/29/2004,182830,165945,179818,216561,187211,232699,190939,180271,231878,164655,159457
3/31/2004,183456,166687,180526,217339,187652,233531,191749,180603,232689,165400,160425
4/30/2004,185005,168406,182170,219446,189116,235380,193451,182160,234703,166941,162204
5/31/2004,186450,170136,183760,221456,190517,237271,195012,183700,236669,168472,163786
6/30/2004,188216,171956,185552,223851,192295,239332,196687,185484,239235,170170,165048
7/31/2004,190468,174185,187924,226905,194521,242254,199017,187647,242787,172223,166816
8/31/2004,193099,176596,190438,230726,197032,245853,201651,190240,246675,174560,169074
9/30/2004,194914,178101,192280,233518,198844,248586,203632,192148,249333,176258,171051
10/31/2004,196641,179501,193873,236105,200567,251397,205582,193808,251725,178013,172990
11/30/2004,198137,180472,195332,237899,202075,253641,207298,195048,253918,179561,174626
12/31/2004,200494,182172,197339,240637,204359,256956,209681,197090,257141,181721,176882
1/31/2005,201751,182990,198467,242155,205692,258786,210932,198360,258986,182988,178448
2/28/2005,203257,184117,199806,243953,207200,261278,212520,199745,260909,184380,180242
3/31/2005,204999,185923,201548,246241,209003,264267,214560,201462,263145,186171,182498
4/30/2005,208207,188927,204403,249994,211970,268982,218029,204551,267322,189252,185378
5/31/2005,211757,192403,207562,254254,215274,273851,221579,208074,272027,192745,188775
6/30/2005,216561,197171,212069,260168,219893,280290,226437,212844,278701,197591,192770
7/31/2005,221937,202738,217306,266945,225357,287592,232208,218224,286182,203239,197645
8/31/2005,228174,208817,223649,274551,231700,295716,239080,224368,294580,209088,202430
9/30/2005,234473,214336,229651,281758,238022,303391,245758,230338,302529,214471,207102
10/31/2005,239804,218703,234705,287484,243244,309479,250800,235017,309008,218659,210726
11/30/2005,244580,222714,238979,292579,247906,314946,255298,239072,314723,222770,214078
12/31/2005,248471,225903,242440,296562,251430,319024,258562,241818,319122,225951,216436
1/31/2006,252086,228908,245585,300309,254762,323032,261884,244634,323173,228873,218906
2/28/2006,254816,231135,247905,302987,257255,325667,264031,246940,326394,230822,220626
3/31/2006,256755,232701,249861,304570,259215,327481,265761,248803,328504,232329,222256
4/30/2006,260017,235270,252991,307552,262537,330579,268589,251686,331703,234990,225253
5/31/2006,263196,237737,256151,310175,265658,334021,271773,254532,334713,237862,228502
6/30/2006,266548,240349,259398,313191,269032,337861,274992,257949,338422,240715,232475
7/31/2006,268058,241290,261000,314293,270209,339780,276345,259794,340500,241971,234717
8/31/2006,269674,242437,262661,315963,271688,341704,277664,261851,342701,243375,237240
9/30/2006,270276,243269,263601,316744,272056,342474,278267,263011,343654,244520,238433
10/31/2006,269686,243260,263588,316144,271387,341873,277870,262980,342603,244567,238321
11/30/2006,268589,242805,263212,314960,269958,340678,276796,262264,341077,244200,237743
12/31/2006,267995,242396,262907,314037,269146,340098,276234,262197,340298,243692,237511
1/31/2007,268615,243176,263646,314733,269623,341042,277128,263317,341758,244784,238913
2/28/2007,269374,244079,264357,315354,270397,341656,278283,264570,343399,246004,240375
3/31/2007,269828,244780,264788,316104,271023,342150,279130,265077,344731,247388,241996
4/30/2007,270503,245578,265199,316878,271798,342474,279896,265460,345955,248361,243127
5/31/2007,271238,246364,265737,318062,272730,343660,280755,265946,347250,249149,244166
6/30/2007,271074,246579,265561,317870,272516,343558,281144,265809,347241,249239,243655
7/31/2007,270834,247060,265529,317697,272547,343610,281900,265915,347210,249740,243432
8/31/2007,270089,247036,264871,316739,272021,342655,281965,265049,346339,249741,242662
9/30/2007,269982,247133,264605,316661,272107,342251,282197,264509,345994,250371,243174
10/31/2007,269123,246298,263488,315960,271237,340908,281270,263430,344953,249976,242894
11/30/2007,267427,244685,261517,313896,269522,338412,279442,261657,342749,248888,242019
12/31/2007,265211,242854,259243,311201,267468,335535,276916,259494,340125,247292,240433
1/31/2008,261920,240178,255961,307116,264535,331431,273375,256448,336162,244826,237654
2/29/2008,258890,237931,253139,303908,261827,327991,270532,253924,332687,242975,235477
3/31/2008,256126,235930,250622,300953,259200,325114,268363,252025,329807,240993,233248
4/30/2008,253816,233231,248448,298007,256860,322267,265839,249966,326083,238831,231011
5/31/2008,250649,229882,245190,294046,253793,318309,262308,247139,321329,235840,227999
6/30/2008,247605,226550,241863,290089,250996,313871,258136,244077,316348,232549,224950
7/31/2008,244919,224446,239105,286896,248429,310644,255326,241747,313088,230028,222744
8/31/2008,242608,222635,236908,284269,246326,307365,252935,239958,310051,227651,220536
9/30/2008,239567,220292,234023,281230,243452,304190,250573,237765,306255,225245,218422
10/31/2008,236642,217538,231090,278276,241014,300197,248045,235398,302197,222541,215512
11/30/2008,233597,214730,228114,275168,238313,296649,245124,233107,298283,219934,213059
12/31/2008,229302,210497,223916,270615,234364,291149,240969,229259,293091,216044,209545
1/31/2009,224550,206396,219289,265733,229701,285881,236702,224942,288116,212157,206321
2/28/2009,221051,203385,215621,262241,226510,282005,233629,221219,284177,209017,203624
3/31/2009,218424,201461,213231,259717,224193,279066,231382,218562,281189,206657,200668
4/30/2009,215583,198991,210561,256963,221239,275626,228237,215558,277280,203899,197466
5/31/2009,212205,195970,207500,253969,217743,271519,225085,212484,273174,201516,194706
6/30/2009,209390,193220,204616,250519,214292,267987,221680,209450,269432,199770,193551
7/31/2009,207071,191229,202180,248074,212104,265831,219394,207169,266925,199051,192863
8/31/2009,204887,188996,200116,244961,209615,263995,216965,204433,264379,197635,192153
9/30/2009,203596,187515,198483,243873,208241,263152,215861,202482,263057,196788,191667
10/31/2009,203295,187313,197987,243498,207493,262873,215674,201971,262525,196565,192133
11/30/2009,203780,187649,197827,244508,207939,262861,215941,202262,262458,196617,191830
12/31/2009,204821,188738,198363,246373,209069,263546,217311,203149,263038,197353,192475
1/31/2010,205024,188641,198223,248188,209098,263202,217174,202853,262661,196438,191994
2/28/2010,203713,187385,196832,248087,207431,261452,215602,201222,260844,194631,190706
3/31/2010,202435,186188,195671,247703,206014,259735,213650,200210,259133,192763,189470
4/30/2010,203267,186934,196423,248718,207026,260585,214872,200973,260000,193818,190644
5/31/2010,204697,188533,197959,250602,208609,262504,216958,202608,262199,195157,192020
6/30/2010,204740,188765,198383,250985,208889,262959,217897,202599,263003,195276,192069
7/31/2010,202321,186768,196175,248623,206663,260279,215682,200342,260418,193026,189998
8/31/2010,199698,184230,193376,246101,204092,256984,212909,197452,257196,190528,187608
9/30/2010,197690,182135,191338,244234,201799,254073,210468,195146,254515,188011,184507
10/31/2010,195515,180133,189501,242133,199475,251700,208131,192824,252384,185563,181480
11/30/2010,193463,178223,187598,239916,197372,249701,205940,190919,250411,183364,179091
12/31/2010,189571,174679,184042,235982,193614,246770,202496,186737,247022,179379,175800
1/31/2011,186615,171409,180980,232668,190681,244070,199399,183101,243997,175594,172354
2/28/2011,185240,169572,179579,231201,189057,242992,198096,180539,242968,173225,170452
3/31/2011,184668,168378,178720,230457,188274,242424,196777,179030,242468,171799,169160
4/30/2011,182828,166621,177065,229288,186513,240829,195119,176803,240785,170223,168677
5/31/2011,179490,163459,174097,226009,183404,237478,191829,173467,236930,167337,166571
6/30/2011,177838,161943,172540,225037,182107,235948,190679,172002,235149,166482,166248
7/31/2011,176521,160564,171276,224216,180593,234932,189311,170423,233905,165778,165907
8/31/2011,175288,159498,170447,224146,179485,234689,188643,169181,233698,165416,165629
9/30/2011,172188,156871,167993,221302,176518,232064,185927,166286,230870,163282,163774
10/31/2011,170268,155516,166490,219588,175100,231127,184660,165026,229594,161964,162372
